date,sku,demand
2020-01-01,SKU_A,54
2020-01-02,SKU_A,48
2020-01-03,SKU_A,57
2020-01-04,SKU_A,66
2020-01-05,SKU_A,49
2020-01-06,SKU_A,49
2020-01-07,SKU_A,67
2020-01-08,SKU_A,60
2020-01-09,SKU_A,48
2020-01-10,SKU_A,58
2020-01-11,SKU_A,48
2020-01-12,SKU_A,49
2020-01-13,SKU_A,56
2020-01-14,SKU_A,35
2020-01-15,SKU_A,37
2020-01-16,SKU_A,49
2020-01-17,SKU_A,45
2020-01-18,SKU_A,59
2020-01-19,SKU_A,47
2020-01-20,SKU_A,42
2020-01-21,SKU_A,71
2020-01-22,SKU_A,55
2020-01-23,SKU_A,58
2020-01-24,SKU_A,43
2020-01-25,SKU_A,52
2020-01-26,SKU_A,59
2020-01-27,SKU_A,47
2020-01-28,SKU_A,63
2020-01-29,SKU_A,53
2020-01-30,SKU_A,57
2020-01-31,SKU_A,54
2020-02-01,SKU_A,79
2020-02-02,SKU_A,60
2020-02-03,SKU_A,50
2020-02-04,SKU_A,69
2020-02-05,SKU_A,49
2020-02-06,SKU_A,64
2020-02-07,SKU_A,42
2020-02-08,SKU_A,49
2020-02-09,SKU_A,64
2020-02-10,SKU_A,70
2020-02-11,SKU_A,65
2020-02-12,SKU_A,62
2020-02-13,SKU_A,61
2020-02-14,SKU_A,49
2020-02-15,SKU_A,57
2020-02-16,SKU_A,60
2020-02-17,SKU_A,75
2020-02-18,SKU_A,68
2020-02-19,SKU_A,47
2020-02-20,SKU_A,69
2020-02-21,SKU_A,62
2020-02-22,SKU_A,59
2020-02-23,SKU_A,72
2020-02-24,SKU_A,77
2020-02-25,SKU_A,76
2020-02-26,SKU_A,58
2020-02-27,SKU_A,64
2020-02-28,SKU_A,70
2020-02-29,SKU_A,77
2020-03-01,SKU_A,63
2020-03-02,SKU_A,66
2020-03-03,SKU_A,57
2020-03-04,SKU_A,56
2020-03-05,SKU_A,76
2020-03-06,SKU_A,82
2020-03-07,SKU_A,68
2020-03-08,SKU_A,79
2020-03-09,SKU_A,72
2020-03-10,SKU_A,63
2020-03-11,SKU_A,73
2020-03-12,SKU_A,85
2020-03-13,SKU_A,69
2020-03-14,SKU_A,85
2020-03-15,SKU_A,43
2020-03-16,SKU_A,78
2020-03-17,SKU_A,71
2020-03-18,SKU_A,67
2020-03-19,SKU_A,71
2020-03-20,SKU_A,50
2020-03-21,SKU_A,68
2020-03-22,SKU_A,74
2020-03-23,SKU_A,85
2020-03-24,SKU_A,65
2020-03-25,SKU_A,62
2020-03-26,SKU_A,66
2020-03-27,SKU_A,80
2020-03-28,SKU_A,74
2020-03-29,SKU_A,65
2020-03-30,SKU_A,76
2020-03-31,SKU_A,72
2020-04-01,SKU_A,80
2020-04-02,SKU_A,64
2020-04-03,SKU_A,67
2020-04-04,SKU_A,67
2020-04-05,SKU_A,56
2020-04-06,SKU_A,74
2020-04-07,SKU_A,73
2020-04-08,SKU_A,71
2020-04-09,SKU_A,68
2020-04-10,SKU_A,56
2020-04-11,SKU_A,66
2020-04-12,SKU_A,67
2020-04-13,SKU_A,62
2020-04-14,SKU_A,69
2020-04-15,SKU_A,74
2020-04-16,SKU_A,89
2020-04-17,SKU_A,72
2020-04-18,SKU_A,73
2020-04-19,SKU_A,69
2020-04-20,SKU_A,51
2020-04-21,SKU_A,70
2020-04-22,SKU_A,70
2020-04-23,SKU_A,94
2020-04-24,SKU_A,68
2020-04-25,SKU_A,72
2020-04-26,SKU_A,69
2020-04-27,SKU_A,57
2020-04-28,SKU_A,80
2020-04-29,SKU_A,76
2020-04-30,SKU_A,77
2020-05-01,SKU_A,59
2020-05-02,SKU_A,82
2020-05-03,SKU_A,54
2020-05-04,SKU_A,74
2020-05-05,SKU_A,90
2020-05-06,SKU_A,58
2020-05-07,SKU_A,62
2020-05-08,SKU_A,68
2020-05-09,SKU_A,62
2020-05-10,SKU_A,51
2020-05-11,SKU_A,67
2020-05-12,SKU_A,56
2020-05-13,SKU_A,71
2020-05-14,SKU_A,57
2020-05-15,SKU_A,81
2020-05-16,SKU_A,58
2020-05-17,SKU_A,62
2020-05-18,SKU_A,73
2020-05-19,SKU_A,53
2020-05-20,SKU_A,67
2020-05-21,SKU_A,78
2020-05-22,SKU_A,48
2020-05-23,SKU_A,66
2020-05-24,SKU_A,66
2020-05-25,SKU_A,71
2020-05-26,SKU_A,51
2020-05-27,SKU_A,50
2020-05-28,SKU_A,68
2020-05-29,SKU_A,65
2020-05-30,SKU_A,65
2020-05-31,SKU_A,65
2020-06-01,SKU_A,55
2020-06-02,SKU_A,64
2020-06-03,SKU_A,64
2020-06-04,SKU_A,54
2020-06-05,SKU_A,79
2020-06-06,SKU_A,65
2020-06-07,SKU_A,48
2020-06-08,SKU_A,66
2020-06-09,SKU_A,49
2020-06-10,SKU_A,67
2020-06-11,SKU_A,70
2020-06-12,SKU_A,50
2020-06-13,SKU_A,68
2020-06-14,SKU_A,62
2020-06-15,SKU_A,66
2020-06-16,SKU_A,76
2020-06-17,SKU_A,54
2020-06-18,SKU_A,49
2020-06-19,SKU_A,47
2020-06-20,SKU_A,48
2020-06-21,SKU_A,55
2020-06-22,SKU_A,59
2020-06-23,SKU_A,58
2020-06-24,SKU_A,63
2020-06-25,SKU_A,54
2020-06-26,SKU_A,68
2020-06-27,SKU_A,51
2020-06-28,SKU_A,80
2020-06-29,SKU_A,59
2020-06-30,SKU_A,44
2020-07-01,SKU_A,41
2020-07-02,SKU_A,57
2020-07-03,SKU_A,49
2020-07-04,SKU_A,58
2020-07-05,SKU_A,56
2020-07-06,SKU_A,50
2020-07-07,SKU_A,42
2020-07-08,SKU_A,35
2020-07-09,SKU_A,45
2020-07-10,SKU_A,58
2020-07-11,SKU_A,51
2020-07-12,SKU_A,36
2020-07-13,SKU_A,50
2020-07-14,SKU_A,52
2020-07-15,SKU_A,39
2020-07-16,SKU_A,49
2020-07-17,SKU_A,48
2020-07-18,SKU_A,35
2020-07-19,SKU_A,50
2020-07-20,SKU_A,52
2020-07-21,SKU_A,57
2020-07-22,SKU_A,56
2020-07-23,SKU_A,31
2020-07-24,SKU_A,35
2020-07-25,SKU_A,50
2020-07-26,SKU_A,49
2020-07-27,SKU_A,49
2020-07-28,SKU_A,82
2020-07-29,SKU_A,49
2020-07-30,SKU_A,54
2020-07-31,SKU_A,52
2020-08-01,SKU_A,49
2020-08-02,SKU_A,39
2020-08-03,SKU_A,49
2020-08-04,SKU_A,34
2020-08-05,SKU_A,39
2020-08-06,SKU_A,36
2020-08-07,SKU_A,42
2020-08-08,SKU_A,64
2020-08-09,SKU_A,22
2020-08-10,SKU_A,47
2020-08-11,SKU_A,24
2020-08-12,SKU_A,35
2020-08-13,SKU_A,50
2020-08-14,SKU_A,40
2020-08-15,SKU_A,28
2020-08-16,SKU_A,31
